epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,283.859,1.00897,1.73733,1.48415,0.29073,0.6636,0.35504,0.26513,nan,nan,nan,0.000555186,0.000555186,0.000555186
2,555.41,1.00298,1.55262,1.4581,0.48051,0.73453,0.52681,0.42861,0.73475,1.17896,1.28762,0.00105587,0.00105587,0.00105587
3,827.232,0.92369,1.42762,1.37286,0.69968,0.68972,0.74146,0.61692,0.65063,1.03209,1.2008,0.00150153,0.00150153,0.00150153
4,1098.68,0.84522,1.31656,1.31604,0.62143,0.78373,0.7178,0.61821,0.5696,0.88694,1.11141,0.00141945,0.00141945,0.00141945
5,1369.67,0.7631,1.18746,1.25988,0.66773,0.69763,0.74543,0.64004,0.58526,0.87599,1.15509,0.00133693,0.00133693,0.00133693
6,1641.01,0.73625,1.15788,1.24234,0.65265,0.7693,0.78433,0.68002,0.54936,0.82222,1.07912,0.00125442,0.00125442,0.00125442
7,1912.28,0.70439,1.10486,1.21232,0.5469,0.85359,0.78339,0.68826,0.501,0.92695,1.07082,0.0011719,0.0011719,0.0011719
8,2183.13,0.67951,1.07199,1.2012,0.69185,0.82816,0.84283,0.74654,0.52258,0.75341,1.06893,0.00108938,0.00108938,0.00108938
9,2454.1,0.65676,1.02288,1.18502,0.76625,0.76291,0.83818,0.75772,0.45462,0.66537,1.01348,0.00100687,0.00100687,0.00100687
10,2725.54,0.63647,1.00506,1.16726,0.65731,0.82204,0.8234,0.74924,0.46825,0.75778,1.02339,0.000924352,0.000924352,0.000924352
11,2996.92,0.50887,0.8524,1.08715,0.74683,0.79144,0.84761,0.76229,0.47384,0.68331,1.02893,0.000841835,0.000841835,0.000841835
12,3268.25,0.47776,0.80493,1.06212,0.76093,0.75757,0.85139,0.78038,0.42473,0.69518,0.99223,0.000759318,0.000759318,0.000759318
13,3539.68,0.46309,0.77731,1.03813,0.70476,0.85542,0.87481,0.80616,0.418,0.63535,0.98935,0.000676802,0.000676802,0.000676802
14,3810.43,0.45428,0.74031,1.03484,0.75279,0.8263,0.8552,0.78979,0.41745,0.63083,0.97639,0.000594286,0.000594286,0.000594286
15,4080.24,0.43347,0.70083,1.0232,0.77089,0.84841,0.88675,0.82185,0.40683,0.57269,0.9681,0.000511769,0.000511769,0.000511769
16,4351.03,0.41042,0.65423,1.00024,0.75814,0.8259,0.86077,0.79772,0.4,0.54893,0.96244,0.000429253,0.000429253,0.000429253
17,4621.02,0.41023,0.63598,1.00509,0.81444,0.77083,0.8804,0.82261,0.40157,0.5519,0.97956,0.000346736,0.000346736,0.000346736
18,4891.61,0.39164,0.60849,0.98804,0.82561,0.79177,0.87876,0.81983,0.38984,0.5172,0.96082,0.00026422,0.00026422,0.00026422
19,5161.14,0.38125,0.55862,0.97676,0.8179,0.83111,0.89234,0.83488,0.37596,0.51541,0.95344,0.000181703,0.000181703,0.000181703
20,5431.66,0.3747,0.55287,0.97783,0.81314,0.84337,0.89183,0.83528,0.37396,0.51168,0.96008,9.91865e-05,9.91865e-05,9.91865e-05
